,Level,Date,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Week,Month
507,National,2020/05/22,"58,899,373","268,268,061","1,220,005,421","323,485,669","299,950,507","145,000,887","180,170,369","175,708,910","60,406,823","22,238,672","10,288,317","1,932,205","823,062",20,5
508,National,2020/05/23,"67,107,738","260,059,696","1,137,302,011","306,700,490","294,092,100","140,206,138","167,341,269","149,612,661","48,711,214","19,128,036","8,869,278","1,792,802","848,023",20,5
509,National,2020/05/24,"80,640,735","246,526,699","942,801,676","255,277,495","244,441,226","116,155,158","137,594,610","121,347,822","40,039,828","16,772,550","8,089,769","1,842,883","1,240,335",21,5
510,National,2020/05/25,"80,848,437","246,318,997","899,272,417","242,990,504","231,882,540","108,968,242","129,729,597","116,654,125","39,396,556","17,221,133","9,193,588","2,025,618","1,210,514",21,5
511,National,2020/05/26,"72,797,585","254,369,849","1,019,263,461","267,644,508","247,896,656","120,729,435","151,823,064","149,874,797","51,444,144","18,299,955","8,300,966","1,951,063","1,298,873",21,5
512,National,2020/05/27,"72,444,598","254,722,836","1,080,677,629","291,204,312","262,539,526","126,770,471","158,649,573","157,266,963","54,437,991","18,896,708","8,289,922","1,834,946","787,217",21,5
513,National,2020/05/28,"73,762,817","253,404,617","1,056,082,690","284,643,937","256,627,807","122,475,321","153,809,742","154,115,886","54,230,553","19,190,020","8,636,198","1,806,027","547,199",21,5
514,National,2020/05/29,"78,840,421","248,327,013","1,059,108,419","281,574,322","261,893,138","124,459,955","154,745,791","153,359,324","53,172,042","19,120,200","8,603,516","1,679,249","500,882",21,5
515,National,2020/05/30,"80,927,024","246,240,410","1,053,877,326","286,274,467","271,920,370","128,275,747","152,870,976","139,431,181","46,502,155","18,027,511","8,363,795","1,706,105","505,019",21,5
516,National,2020/05/31,"84,859,996","242,307,438","948,309,948","260,701,395","247,709,712","114,628,707","135,144,343","120,926,152","40,632,756","17,335,913","8,872,950","1,786,820","571,200",22,5
517,National,2020/06/01,"74,950,180","252,217,254","1,027,164,685","276,929,208","254,423,136","120,019,363","148,789,116","147,043,387","51,643,357","18,199,276","7,911,012","1,585,006","621,824",22,6
518,National,2020/06/02,"76,026,911","251,140,523","1,039,981,500","283,869,903","251,312,989","119,142,514","149,956,847","151,300,854","53,760,861","19,137,135","8,806,567","1,940,764","753,066",22,6
519,National,2020/06/03,"69,955,426","257,212,008","1,110,917,711","301,896,524","268,908,348","128,772,810","161,806,105","161,667,177","56,647,379","19,782,835","8,772,065","1,893,463","771,005",22,6
520,National,2020/06/04,"70,414,491","256,752,943","1,072,076,518","288,042,772","258,582,056","124,186,089","156,337,518","157,399,217","55,648,306","19,922,959","9,212,532","2,001,391","743,678",22,6
521,National,2020/06/05,"69,989,513","257,177,921","1,107,885,771","294,162,892","270,222,199","129,932,422","162,375,342","160,721,444","56,510,964","21,022,041","10,116,985","2,025,603","795,879",22,6
522,National,2020/06/06,"79,705,726","247,461,708","985,358,874","255,908,755","255,455,260","121,956,804","146,912,607","133,697,810","44,247,805","16,995,380","7,847,071","1,620,571","716,811",22,6
523,National,2020/06/07,"78,462,106","248,705,328","957,493,300","246,028,627","258,381,120","118,902,010","138,820,360","122,946,500","41,648,081","18,057,236","9,748,683","2,048,642","912,041",23,6
524,National,2020/06/08,"68,458,522","258,708,912","1,111,735,329","291,545,139","273,861,586","133,045,400","165,587,841","162,165,382","55,703,751","19,106,924","8,353,773","1,690,206","675,327",23,6
525,National,2020/06/09,"74,111,378","253,056,056","1,040,375,216","274,497,259","252,008,715","121,750,919","154,313,232","154,545,166","54,077,106","18,636,497","7,985,620","1,748,864","811,838",23,6
526,National,2020/06/10,"73,657,277","253,510,157","1,047,322,006","282,029,297","252,933,721","121,615,917","153,438,619","152,895,880","53,710,963","19,101,391","8,627,514","1,966,271","1,002,433",23,6
527,National,2020/06/11,"71,475,817","255,691,617","1,079,489,816","286,714,246","261,074,793","126,874,248","160,113,222","158,176,810","54,973,100","19,674,370","9,005,562","1,952,739","930,726",23,6
528,National,2020/06/12,"71,576,618","255,590,816","1,091,313,320","291,025,910","265,265,522","128,226,133","160,307,846","157,328,175","55,093,313","21,063,413","10,158,057","2,040,767","804,184",23,6
529,National,2020/06/13,"74,856,283","252,311,151","1,087,820,678","294,445,483","273,602,644","132,243,056","159,475,489","145,708,647","49,971,446","20,201,297","9,540,377","1,957,733","674,506",23,6
530,National,2020/06/14,"81,305,338","245,862,096","920,825,304","248,430,203","233,921,195","111,033,590","132,820,076","119,923,514","42,040,287","19,234,603","10,391,452","2,173,599","856,785",24,6
531,National,2020/06/15,"76,163,687","251,003,747","1,006,440,207","270,845,330","244,604,362","117,209,372","146,811,067","145,282,704","51,201,987","18,954,306","8,870,767","1,911,109","749,203",24,6
532,National,2020/06/16,"75,543,198","251,624,236","1,072,538,999","292,857,800","260,853,549","124,793,326","156,220,128","154,663,813","53,538,946","18,906,716","8,274,010","1,785,611","645,100",24,6
533,National,2020/06/17,"73,067,593","254,099,841","1,099,723,524","301,262,899","266,593,888","127,567,859","159,858,916","158,407,375","55,240,226","19,528,557","8,761,056","1,890,964","611,784",24,6
534,National,2020/06/18,"72,476,074","254,691,360","1,078,198,697","291,575,943","260,119,575","125,467,968","157,882,952","156,610,581","54,942,415","19,864,336","9,162,282","1,929,635","643,010",24,6
535,National,2020/06/19,"71,891,991","255,275,443","1,057,164,183","280,435,451","256,321,304","124,325,314","155,952,871","153,319,992","53,936,993","20,536,720","9,668,554","1,917,524","749,460",24,6
536,National,2020/06/20,"77,616,767","249,550,667","1,012,741,313","271,528,070","255,696,651","122,643,490","148,396,113","135,948,051","47,175,746","19,517,023","9,178,912","1,898,469","758,788",24,6
537,National,2020/06/21,"84,148,517","243,018,917","890,340,741","237,066,732","224,794,833","106,630,749","129,582,662","119,255,690","42,364,258","18,800,502","9,234,697","1,850,784","759,834",25,6
538,National,2020/06/22,"76,197,592","250,969,842","965,656,172","255,788,562","230,630,099","112,411,406","142,504,534","141,937,318","51,105,779","19,298,340","9,157,127","1,982,653","840,354",25,6
539,National,2020/06/23,"73,345,776","253,821,658","1,045,524,846","278,710,415","250,746,978","122,090,848","154,711,241","154,402,327","54,155,547","19,281,513","8,721,329","1,931,515","773,133",25,6
540,National,2020/06/24,"77,223,311","249,944,123","995,044,451","267,513,543","236,991,461","114,795,943","146,115,953","147,257,446","52,350,313","18,828,687","8,564,219","1,887,803","739,083",25,6
541,National,2020/06/25,"74,220,726","252,946,708","1,039,714,067","280,430,129","248,182,529","120,186,913","152,266,265","152,443,269","54,121,624","19,867,767","9,343,327","2,022,885","849,359",25,6
542,National,2020/06/26,"74,370,910","252,796,524","1,032,799,223","275,599,234","248,418,114","119,859,365","150,519,446","150,023,703","54,112,212","20,997,913","10,288,057","2,140,899","840,280",25,6
543,National,2020/06/27,"77,993,738","249,173,696","1,029,521,414","275,629,577","257,875,425","124,682,231","151,580,374","139,527,687","48,203,635","19,700,119","9,563,902","1,981,438","777,026",25,6
544,National,2020/06/28,"82,069,260","245,098,174","899,119,168","237,362,296","226,296,489","108,507,580","131,295,503","119,652,484","42,571,380","19,526,132","10,725,555","2,253,125","928,624",26,6
545,National,2020/06/29,"78,791,722","248,375,712","969,387,528","255,843,125","232,349,954","112,730,262","143,139,406","143,185,682","51,213,048","19,019,639","8,957,261","1,995,722","953,429",26,6
546,National,2020/06/30,"77,346,196","249,821,238","958,999,840","252,764,756","226,745,603","111,166,841","141,791,403","143,555,900","51,478,578","19,077,343","9,073,619","2,186,194","1,159,603",26,6
547,National,2020/07/01,"75,288,661","251,878,773","973,662,902","259,579,907","231,395,558","112,676,883","142,781,307","143,455,838","51,607,964","19,419,444","9,353,791","2,201,317","1,190,893",26,7
548,National,2020/07/02,"79,847,198","247,320,236","1,103,365,355","297,595,176","263,410,853","127,571,257","161,620,601","161,761,191","57,385,512","21,059,860","9,912,441","2,146,594","901,870",26,7
549,National,2020/07/03,"83,897,555","243,269,879","1,026,875,080","274,037,870","247,036,173","119,194,955","149,668,421","149,140,363","53,749,931","20,857,795","10,225,081","2,128,465","836,026",26,7
550,National,2020/07/04,"89,495,942","237,671,492","878,531,782","234,442,951","211,346,817","101,975,574","128,057,959","127,597,060","45,984,485","17,843,578","8,747,513","1,820,771","715,074",26,7
551,National,2020/07/05,"83,640,828","243,526,606","849,924,132","224,762,490","211,525,208","102,420,887","124,302,951","112,574,591","40,069,088","19,293,491","11,277,681","2,378,490","1,319,255",27,7
552,National,2020/07/06,"80,309,707","246,857,727","911,665,695","236,439,559","219,327,879","107,589,837","135,245,050","133,438,909","48,139,555","18,766,407","9,342,960","2,121,659","1,253,880",27,7
553,National,2020/07/07,"78,482,259","248,685,175","935,701,155","244,541,884","221,799,720","109,078,033","139,104,386","139,945,425","50,180,841","18,792,397","8,975,646","2,105,928","1,176,895",27,7
554,National,2020/07/08,"77,804,889","249,362,545","937,788,478","245,382,783","221,241,184","108,944,257","139,232,104","139,955,420","50,710,189","19,343,875","9,550,583","2,206,596","1,221,487",27,7
555,National,2020/07/09,"77,581,232","249,586,202","952,325,679","250,109,844","224,635,410","110,408,483","140,786,478","141,783,496","51,526,652","19,927,368","9,805,768","2,196,786","1,145,394",27,7
556,National,2020/07/10,"76,549,582","250,617,852","967,479,207","248,133,958","231,258,305","113,809,570","144,651,349","143,656,215","51,669,718","20,424,146","10,431,982","2,218,378","1,225,586",27,7
557,National,2020/07/11,"81,888,780","245,278,654","931,395,618","247,748,541","229,621,690","112,270,605","137,573,472","126,919,720","44,750,270","19,164,372","9,898,917","2,197,315","1,250,716",27,7
558,National,2020/07/12,"85,239,143","241,928,291","823,561,548","213,793,741","204,875,911","99,799,420","121,665,951","110,645,318","39,602,402","18,686,120","10,643,064","2,365,762","1,483,859",28,7
559,National,2020/07/13,"78,255,877","248,911,557","911,765,772","235,753,208","215,982,986","106,255,377","136,310,880","136,685,643","49,340,139","18,876,937","9,207,845","2,086,738","1,266,019",28,7
560,National,2020/07/14,"79,590,590","247,576,844","949,128,966","247,589,575","227,260,363","110,932,348","141,221,179","142,129,549","50,803,324","18,297,419","8,117,872","1,795,624","981,713",28,7
561,National,2020/07/15,"78,460,238","248,707,196","963,899,518","249,587,944","231,322,869","113,315,502","143,853,380","145,079,329","51,670,554","18,577,259","7,953,122","1,716,460","823,099",28,7
562,National,2020/07/16,"79,063,819","248,103,615","971,386,900","252,787,562","232,449,699","113,584,462","144,392,952","146,275,468","52,060,886","18,961,694","8,383,852","1,756,212","734,113",28,7
563,National,2020/07/17,"78,987,441","248,179,993","975,527,169","251,006,721","235,200,296","114,789,601","145,582,123","146,201,028","51,870,781","19,456,813","8,937,303","1,784,985","697,518",28,7
564,National,2020/07/18,"85,095,758","242,071,676","940,582,659","247,301,126","234,841,129","113,169,028","138,499,196","130,526,460","45,734,018","18,881,539","8,951,406","1,892,499","786,258",28,7
565,National,2020/07/19,"91,567,202","235,600,232","804,283,941","206,975,547","202,294,490","96,306,592","117,935,083","110,153,147","39,509,553","18,197,245","9,860,775","2,090,380","961,129",29,7
566,National,2020/07/20,"86,409,502","240,757,932","930,030,696","239,951,169","224,110,218","108,745,275","138,487,058","140,690,807","50,058,036","18,005,794","7,758,480","1,554,271","669,588",29,7
567,National,2020/07/21,"82,985,381","244,182,053","922,317,615","235,380,553","216,595,225","107,811,207","139,416,388","142,092,284","51,196,618","18,791,034","8,334,996","1,760,087","939,223",29,7
568,National,2020/07/22,"81,477,809","245,689,625","924,903,392","233,646,832","217,247,667","109,003,768","140,814,150","142,772,942","51,371,726","18,863,007","8,422,283","1,782,934","978,083",29,7
569,National,2020/07/23,"82,417,168","244,750,266","900,818,534","227,670,952","210,502,478","105,221,248","136,322,609","139,331,554","50,463,067","19,272,522","9,033,832","1,942,497","1,057,775",29,7
570,National,2020/07/24,"78,917,813","248,249,621","968,972,594","244,375,876","228,685,450","115,057,891","147,274,763","147,240,664","52,652,883","20,774,294","9,938,432","1,965,822","1,006,519",29,7
571,National,2020/07/25,"85,536,625","241,630,809","895,714,428","229,804,448","216,971,797","108,411,061","135,567,831","128,139,352","45,346,975","19,271,107","9,293,547","1,938,674","969,636",29,7
572,National,2020/07/26,"86,627,901","240,539,533","873,134,026","217,947,122","212,968,720","106,069,058","132,145,167","122,969,394","44,269,336","21,450,838","11,681,802","2,351,296","1,281,293",30,7
573,National,2020/07/27,"84,141,818","243,025,616","931,756,931","233,703,958","218,940,933","109,452,668","141,483,001","142,782,879","51,902,117","20,281,768","9,703,797","2,135,400","1,370,410",30,7
574,National,2020/07/28,"80,626,059","246,541,375","963,629,991","240,464,735","224,431,351","113,488,309","147,211,145","150,315,883","54,378,403","20,561,432","9,433,004","2,085,996","1,259,733",30,7
575,National,2020/07/29,"82,305,092","244,862,342","949,558,438","236,151,292","221,991,839","111,534,133","144,819,862","147,998,134","53,922,588","20,376,571","9,406,886","2,098,700","1,258,433",30,7
576,National,2020/07/30,"78,830,823","248,336,611","963,127,123","237,601,601","225,178,600","113,796,758","147,071,981","149,400,759","54,633,211","21,283,698","10,435,094","2,351,018","1,374,403",30,7
577,National,2020/07/31,"80,484,851","246,682,583","941,170,596","231,546,512","221,597,631","110,583,074","142,535,694","144,780,119","53,408,631","21,651,225","11,229,990","2,471,052","1,366,668",30,7
578,National,2020/08/01,"86,581,029","240,586,405","891,507,342","223,944,090","216,743,970","107,311,440","133,713,842","127,722,009","46,509,141","20,688,801","10,949,571","2,515,289","1,409,189",30,8
579,National,2020/08/02,"89,833,618","237,333,816","836,925,254","208,222,928","208,137,448","101,151,801","124,345,334","116,380,384","42,554,168","20,572,240","11,910,655","2,496,974","1,153,322",31,8
580,National,2020/08/03,"81,944,351","245,223,083","955,065,517","243,911,160","229,638,237","110,977,143","141,101,241","144,708,828","52,684,245","19,733,205","9,438,642","1,992,366","880,450",31,8
581,National,2020/08/04,"79,005,703","248,161,731","1,003,243,900","263,636,994","242,520,531","117,236,770","148,263,493","150,194,154","52,960,839","18,349,669","7,842,898","1,618,425","620,127",31,8
582,National,2020/08/05,"79,040,859","248,126,575","1,023,776,980","272,324,660","246,442,462","118,634,356","150,257,743","152,645,603","54,004,843","18,887,677","8,180,961","1,735,963","662,712",31,8
583,National,2020/08/06,"77,520,939","249,646,495","1,028,973,769","271,840,312","245,795,588","119,238,399","151,479,028","154,422,702","55,093,698","19,784,663","8,783,477","1,816,020","719,882",31,8
584,National,2020/08/07,"77,102,422","250,065,012","1,004,535,529","254,547,148","242,504,779","118,076,556","149,941,563","152,290,805","54,477,986","20,433,432","9,614,513","1,890,126","758,621",31,8
585,National,2020/08/08,"82,032,981","245,134,453","932,427,591","229,844,802","233,395,829","114,463,573","140,860,660","134,236,676","47,834,602","19,757,076","9,393,075","1,872,660","768,638",31,8
586,National,2020/08/09,"85,309,499","241,857,935","907,249,665","220,836,790","230,115,797","110,985,230","135,758,155","127,217,608","46,082,141","21,302,378","11,664,667","2,366,289","920,610",32,8
587,National,2020/08/10,"79,873,225","247,294,209","992,001,082","240,203,451","241,386,609","117,275,202","149,782,583","154,414,964","56,700,778","20,367,377","9,086,226","1,962,202","821,690",32,8
588,National,2020/08/11,"79,559,905","247,607,529","1,021,140,014","247,998,487","246,890,516","121,334,601","155,166,478","160,046,997","58,434,651","20,409,100","8,358,451","1,787,623","713,110",32,8
589,National,2020/08/12,"77,404,387","249,763,047","950,523,560","227,428,557","225,611,830","111,997,573","144,686,556","150,122,103","55,790,871","20,365,930","9,520,056","2,416,029","2,584,055",32,8
590,National,2020/08/13,"74,016,638","253,150,796","972,032,466","229,885,032","229,539,687","116,009,270","149,499,627","153,000,951","56,324,839","21,336,205","10,502,842","2,704,916","3,229,097",32,8
591,National,2020/08/14,"70,950,409","256,217,025","1,027,371,026","242,132,387","244,373,615","123,600,032","158,457,132","159,585,404","58,093,445","23,074,285","11,887,363","2,861,616","3,305,747",32,8
592,National,2020/08/15,"76,872,825","250,294,609","958,228,815","227,187,649","233,569,365","118,203,064","147,666,633","141,107,802","51,257,596","22,128,595","11,080,161","2,680,695","3,347,255",32,8
593,National,2020/08/16,"85,309,497","241,857,937","860,750,115","194,661,801","209,450,397","106,195,882","133,366,335","125,601,473","46,371,512","23,231,611","13,769,956","3,487,758","4,613,390",33,8
594,National,2020/08/17,"83,201,280","243,966,154","946,939,450","217,212,730","223,102,445","112,761,130","146,232,464","150,268,731","56,086,515","22,107,089","11,290,143","3,207,858","4,670,345",33,8
595,National,2020/08/18,"79,559,902","247,607,532","916,015,128","207,964,568","211,699,248","107,667,949","141,669,405","148,891,809","56,363,048","22,222,984","11,192,522","3,340,533","5,003,062",33,8
596,National,2020/08/19,"77,404,387","249,763,047","966,987,965","225,624,378","225,180,293","113,472,962","148,491,035","155,214,819","57,941,493","22,162,877","10,964,521","3,186,656","4,748,931",33,8
597,National,2020/08/20,"74,016,637","253,150,797","972,143,612","227,731,450","226,250,347","113,941,678","148,488,021","155,243,808","58,292,547","22,619,836","11,477,015","3,238,416","4,860,494",33,8
598,National,2020/08/21,"70,950,409","256,217,025","1,039,969,974","246,221,133","247,045,759","123,226,695","158,537,375","161,787,814","59,625,040","23,716,032","12,180,560","3,120,606","4,508,960",33,8
599,National,2020/08/22,"76,872,822","250,294,612","973,147,172","230,627,589","236,865,962","118,243,204","148,778,894","143,848,139","52,717,529","22,828,800","11,405,023","3,068,725","4,763,307",33,8
600,National,2020/08/23,"87,825,890","239,341,544","783,583,424","181,810,846","194,446,685","96,369,278","120,554,976","113,291,463","40,849,042","19,182,295","10,805,648","2,685,390","3,587,801",34,8
601,National,2020/08/24,"85,099,245","242,068,189","860,172,856","202,328,874","207,673,616","102,241,050","131,106,448","134,890,619","49,518,746","18,233,374","8,468,554","2,309,244","3,402,331",34,8
602,National,2020/08/25,"81,735,768","245,431,666","908,517,386","212,024,001","218,692,179","109,063,704","140,259,032","144,002,853","52,366,703","18,497,163","8,274,750","2,228,337","3,108,664",34,8
603,National,2020/08/26,"82,957,486","244,209,948","891,521,703","207,143,097","213,473,073","106,732,811","138,085,525","142,499,674","51,981,243","18,707,403","8,549,505","2,145,959","2,203,413",34,8
604,National,2020/08/27,"83,256,913","243,910,521","900,465,647","209,434,244","216,676,067","107,817,506","138,955,432","143,252,512","52,424,777","19,206,085","9,119,774","2,128,352","1,450,898",34,8
605,National,2020/08/28,"81,463,581","245,703,853","930,081,333","214,023,191","224,327,194","111,967,053","144,039,001","147,025,037","53,815,221","20,829,896","10,296,469","2,258,541","1,499,730",34,8
606,National,2020/08/29,"85,554,661","241,612,773","911,132,859","214,057,298","227,287,353","112,768,158","141,420,697","135,021,610","47,687,069","19,700,072","9,483,986","2,136,097","1,570,519",34,8
607,National,2020/08/30,"91,508,837","235,658,597","818,596,514","189,938,436","205,570,433","100,304,605","125,501,034","118,980,491","42,870,519","19,883,246","11,164,576","2,558,972","1,824,202",35,8
608,National,2020/08/31,"85,286,387","241,881,047","883,425,327","210,482,568","212,823,894","103,809,744","133,919,212","138,440,148","50,996,750","19,264,708","9,534,745","2,317,755","1,835,803",35,8
609,National,2020/09/01,"83,386,029","243,781,405","947,075,087","227,508,410","230,208,090","112,901,564","144,496,964","146,979,215","53,364,835","19,260,360","8,977,451","2,099,857","1,278,341",35,9
610,National,2020/09/02,"83,560,706","243,606,728","955,274,244","228,363,145","231,198,437","113,264,354","145,875,822","150,057,519","54,643,514","19,515,391","8,967,210","2,112,077","1,276,775",35,9
611,National,2020/09/03,"78,019,866","249,147,568","1,014,265,682","247,356,999","245,183,168","120,168,561","153,531,369","156,458,872","56,557,432","20,947,376","10,152,714","2,373,580","1,535,611",35,9
612,National,2020/09/04,"82,296,390","244,871,044","977,783,273","231,450,013","236,303,846","115,535,388","148,117,875","151,420,834","55,667,375","22,767,494","12,335,244","2,707,163","1,478,041",35,9
613,National,2020/09/05,"83,945,279","243,222,155","978,712,771","240,176,517","242,854,447","118,566,379","147,796,720","141,559,087","51,198,995","22,198,149","10,890,781","2,213,739","1,257,957",35,9
614,National,2020/09/06,"91,402,851","235,764,583","836,329,188","202,555,916","207,736,080","100,062,181","125,722,326","120,785,735","44,460,678","20,378,713","10,778,029","2,333,275","1,516,255",36,9
615,National,2020/09/07,"93,798,762","233,368,672","794,092,125","190,418,550","197,450,791","94,794,453","117,720,885","113,301,092","42,198,745","20,746,594","12,835,880","2,934,730","1,690,405",36,9
616,National,2020/09/08,"86,972,956","240,194,478","944,099,192","218,129,877","228,468,688","113,106,284","145,894,113","150,542,062","54,508,166","20,050,441","9,575,917","2,273,986","1,549,658",36,9
617,National,2020/09/09,"84,653,410","242,514,024","970,868,397","224,763,417","233,741,435","115,969,798","150,637,558","156,011,219","56,484,149","20,179,017","9,259,763","2,266,453","1,555,588",36,9
618,National,2020/09/10,"84,323,123","242,844,311","937,345,487","218,097,678","226,132,559","110,810,394","143,961,843","149,625,267","54,953,396","20,196,427","9,594,825","2,352,703","1,620,395",36,9
619,National,2020/09/11,"81,465,325","245,702,109","1,015,175,641","235,615,494","247,237,048","121,734,473","156,909,743","159,524,581","57,697,994","21,857,264","10,750,645","2,350,933","1,497,466",36,9
620,National,2020/09/12,"88,386,989","238,780,445","923,721,323","216,419,156","230,251,682","113,289,822","142,680,796","138,040,129","49,327,544","20,210,814","9,797,942","2,215,031","1,488,407",36,9
621,National,2020/09/13,"91,455,844","235,711,590","795,912,208","171,148,006","201,165,150","97,525,347","124,353,814","121,984,395","44,787,222","21,359,047","9,403,666","2,355,769","1,829,792",37,9
622,National,2020/09/14,"86,424,313","240,743,121","950,728,835","219,840,200","232,504,775","114,101,016","146,667,972","150,614,655","54,616,507","19,627,556","9,058,153","2,185,471","1,512,530",37,9
623,National,2020/09/15,"85,233,936","241,933,498","972,601,976","227,027,267","235,557,127","116,302,417","150,054,378","154,363,841","56,350,124","20,160,476","9,101,841","2,223,639","1,460,866",37,9
624,National,2020/09/16,"84,745,886","242,421,548","965,918,750","219,732,792","232,574,967","116,008,470","150,713,002","156,170,816","57,150,976","20,390,232","9,365,744","2,283,492","1,528,259",37,9
625,National,2020/09/17,"83,880,059","243,287,375","974,382,067","222,466,325","235,795,481","117,267,263","151,121,371","155,550,212","57,295,194","21,001,889","10,011,401","2,387,785","1,485,146",37,9
626,National,2020/09/18,"82,381,397","244,786,037","1,033,724,520","239,638,268","252,444,306","124,827,247","159,418,384","160,572,132","58,899,431","22,739,997","11,377,476","2,434,343","1,372,936",37,9
627,National,2020/09/19,"86,365,850","240,801,584","1,019,561,474","241,403,357","253,966,198","125,769,970","157,121,039","150,351,556","54,564,965","22,367,248","10,491,997","2,227,109","1,298,035",37,9
628,National,2020/09/20,"89,050,789","238,116,645","843,105,354","203,230,454","213,540,416","104,056,835","128,026,216","119,258,591","42,219,501","19,039,636","10,509,425","2,162,758","1,061,522",38,9
629,National,2020/09/21,"90,266,169","236,901,265","879,031,829","206,159,253","217,321,191","105,144,101","134,008,744","138,750,279","50,534,023","17,333,479","7,422,823","1,653,111","704,825",38,9
630,National,2020/09/22,"82,236,364","244,931,070","959,360,953","229,823,968","235,764,979","113,999,166","146,224,943","151,933,942","54,643,274","17,826,165","7,014,402","1,570,568","559,546",38,9
631,National,2020/09/23,"78,480,405","248,687,029","995,406,238","236,753,769","244,471,466","119,432,181","153,271,328","157,866,042","56,089,530","18,168,262","7,199,126","1,587,204","567,330",38,9
632,National,2020/09/24,"78,174,083","248,993,351","982,687,545","231,726,565","240,231,341","117,924,412","151,112,910","156,302,974","55,997,810","18,895,334","7,984,773","1,785,866","725,560",38,9
633,National,2020/09/25,"75,880,937","251,286,497","1,035,023,287","242,505,136","254,439,619","125,251,772","159,719,281","163,016,468","58,050,477","20,479,739","9,229,178","1,755,464","576,153",38,9
634,National,2020/09/26,"82,915,787","244,251,647","999,516,029","237,866,790","251,473,792","123,622,837","153,751,298","148,741,757","53,180,203","20,444,500","8,335,851","1,545,041","553,960",38,9
635,National,2020/09/27,"86,483,123","240,684,311","880,305,669","212,378,862","224,622,927","108,064,263","133,067,869","125,617,230","44,516,910","19,472,703","10,029,303","1,883,901","651,701",39,9
636,National,2020/09/28,"81,225,334","245,942,100","950,665,855","224,582,136","236,147,256","114,622,230","145,461,754","148,914,327","53,623,564","18,107,885","7,220,157","1,437,765","548,781",39,9
637,National,2020/09/29,"81,461,516","245,705,918","949,508,146","215,547,734","231,333,469","113,996,233","147,923,891","154,541,720","57,300,069","20,240,505","6,822,888","1,365,973","435,664",39,9
638,National,2020/09/30,"81,311,288","245,856,146","960,570,145","214,510,233","233,776,415","114,987,264","150,087,375","157,651,050","59,215,854","21,517,219","7,002,568","1,380,441","441,726",39,9
639,National,2020/10/01,"78,207,847","248,959,587","980,903,679","226,984,925","240,444,739","118,521,687","152,043,542","155,346,740","56,887,813","20,789,322","7,766,759","1,553,225","564,927",39,10
640,National,2020/10/02,"81,290,696","245,876,738","953,667,329","219,778,936","236,310,969","116,949,997","148,313,576","148,165,072","53,055,640","20,140,558","8,977,193","1,526,787","448,601",39,10
641,National,2020/10/03,"87,024,735","240,142,699","927,183,815","211,617,611","232,870,469","115,875,992","145,425,969","140,020,416","50,670,372","20,819,646","8,108,259","1,343,768","431,313",39,10
642,National,2020/10/04,"91,147,567","236,019,867","816,502,309","188,942,337","208,005,957","101,292,401","125,862,507","118,251,777","42,415,942","19,830,015","9,755,475","1,638,486","507,412",40,10
643,National,2020/10/05,"91,039,791","236,127,643","884,596,531","201,791,012","218,952,250","106,121,335","135,898,589","139,644,871","52,669,560","20,438,089","7,376,108","1,298,618","406,099",40,10
644,National,2020/10/06,"83,952,997","243,214,437","945,009,501","214,143,882","231,697,723","114,685,587","147,481,852","150,983,766","56,244,042","21,053,294","7,092,270","1,252,040","375,045",40,10
645,National,2020/10/07,"81,605,770","245,561,664","975,907,107","217,830,918","238,123,590","118,835,067","153,996,931","158,266,560","58,545,140","21,329,555","7,253,006","1,305,192","421,148",40,10
646,National,2020/10/08,"82,680,980","244,486,454","917,231,454","205,957,247","220,348,992","110,114,541","143,912,828","149,950,167","56,187,377","21,398,404","7,574,045","1,361,985","425,868",40,10
647,National,2020/10/09,"83,449,381","243,718,053","959,027,493","210,582,078","234,632,639","116,996,052","151,448,326","154,478,434","57,408,244","22,974,224","8,700,302","1,431,731","375,463",40,10
648,National,2020/10/10,"89,573,421","237,594,013","908,120,493","200,701,537","227,317,835","113,065,244","143,219,275","139,998,099","52,011,265","22,146,981","8,029,960","1,286,689","343,608",40,10
649,National,2020/10/11,"91,120,636","236,046,798","797,160,067","179,804,776","200,960,428","98,572,849","123,323,251","117,488,814","43,813,572","21,520,539","9,784,127","1,574,952","316,759",41,10
650,National,2020/10/12,"86,773,180","240,394,254","885,734,103","201,380,246","215,893,622","106,577,739","137,140,458","140,201,552","52,988,589","21,399,172","8,391,768","1,438,950","322,007",41,10
651,National,2020/10/13,"82,898,006","244,269,428","924,921,624","212,396,435","224,488,567","110,664,771","143,196,856","147,948,867","55,570,859","21,000,121","7,788,626","1,434,099","432,423",41,10
652,National,2020/10/14,"80,558,636","246,608,798","935,231,789","214,123,057","225,954,456","111,997,153","145,505,644","150,172,896","56,113,473","21,297,889","7,974,827","1,524,665","567,729",41,10
653,National,2020/10/15,"83,846,967","243,320,467","872,319,705","193,803,218","210,258,267","104,046,265","135,869,810","142,279,727","53,887,309","21,412,222","8,487,532","1,673,407","601,948",41,10
654,National,2020/10/16,"79,142,291","248,025,143","953,393,264","213,353,792","232,056,776","115,536,999","149,504,318","152,087,896","56,521,695","22,858,525","9,183,779","1,664,781","624,703",41,10
